filename,rows_in_df,final_path,windows_path,num_windows
課文_L1_CH1_1-1,594,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH1_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH1_1-1__windows.csv,109
課文_L1_CH1_2-1,577,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH1_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH1_2-1__windows.csv,106
課文_L1_CH2_1-1,745,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH2_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH2_1-1__windows.csv,117
課文_L1_CH2_2-1,752,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH2_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH2_2-1__windows.csv,110
課文_L1_CH3_1-1,483,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH3_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH3_1-1__windows.csv,89
課文_L1_CH3_2-1,466,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH3_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH3_2-1__windows.csv,86
課文_L1_CH4_1-1,611,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH4_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH4_1-1__windows.csv,105
課文_L1_CH4_2-1,540,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH4_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH4_2-1__windows.csv,95
課文_L1_CH5_1-1,772,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH5_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH5_1-1__windows.csv,137
課文_L1_CH5_2-1,709,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH5_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L1_CH5_2-1__windows.csv,124
課文_L2_CH1_1-1,681,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH1_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH1_1-1__windows.csv,95
課文_L2_CH1_2-1,647,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH1_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH1_2-1__windows.csv,93
課文_L2_CH2_1-1,562,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH2_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH2_1-1__windows.csv,83
課文_L2_CH2_2-1,534,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH2_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH2_2-1__windows.csv,76
課文_L2_CH3_1-1,925,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_1-1__windows.csv,140
課文_L2_CH3_2-1,938,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_2-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH3_2-1__windows.csv,152
課文_L2_CH4_1-1,695,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH4_1-1__final.csv,E:\Taiwanese-Sign-Language\data-processing\Taiwanese-Sign-Language-Data-Processing\Taiwanese-Sign-Language-Data-Processing\TSL_new_data_課文\sliding_pred_results_all_20250908_071403\課文_L2_CH4_1-1__windows.csv,118
