start,end,cid,word,score_base,score_comb,dtw_cost,win
20,59,107,家,0.3479897081851959,0.3479897081851959,,30
40,89,201,狗,0.2614288926124573,0.2614288926124573,,30
75,154,290,頑皮,0.7198720574378967,0.7198720574378967,,30
145,174,267,跑步,0.2239188551902771,0.2239188551902771,,30
170,209,199,牠,0.2685724198818207,0.2685724198818207,,30
195,254,179,沙發,0.492900550365448,0.492900550365448,,30
235,304,79,咬,0.6885267496109009,0.6885267496109009,,30
290,339,86,喜歡,0.2735153138637543,0.2735153138637543,,30
320,349,255,豐盛,0.2739768624305725,0.2739768624305725,,30
345,374,215,看到,0.21266567707061768,0.21266567707061768,,30
355,394,249,見到,0.4317728877067566,0.4317728877067566,,30
375,404,268,跳,0.30423372983932495,0.30423372983932495,,30
390,469,146,散步,0.38019323348999023,0.38019323348999023,,30
450,479,69,去,0.20686250925064087,0.20686250925064087,,30
465,504,155,是,0.3035653233528137,0.3035653233528137,,30
510,539,201,狗,0.23594561219215393,0.23594561219215393,,30
525,584,268,跳,0.5180935859680176,0.5180935859680176,,30
570,639,285,開心,0.43786728382110596,0.43786728382110596,,30
640,689,40,今天,0.524455726146698,0.524455726146698,,30
675,714,201,狗,0.24928325414657593,0.24928325414657593,,30
725,774,200,牽,0.45815563201904297,0.45815563201904297,,30
760,849,146,散步,0.4541500210762024,0.4541500210762024,,30
845,904,135,打手語,0.42926594614982605,0.42926594614982605,,30
890,949,77,告訴,0.32837268710136414,0.32837268710136414,,30
930,969,267,跑步,0.3889608681201935,0.3889608681201935,,30
960,1009,23,不,0.5349637269973755,0.5349637269973755,,30
1000,1049,70,叫,0.4717792868614197,0.4717792868614197,,30
1030,1079,25,不可以,0.35785430669784546,0.35785430669784546,,30
1080,1109,133,手語,0.24121606349945068,0.24121606349945068,,30
1090,1169,277,這兩個,0.7039448022842407,0.7039448022842407,,30
1155,1204,214,看,0.3117246925830841,0.3117246925830841,,30
1185,1214,127,懂,0.37240320444107056,0.37240320444107056,,30
1200,1259,280,遵守,0.4553353190422058,0.4553353190422058,,30
1245,1274,267,跑步,0.2233213484287262,0.2233213484287262,,30
1270,1299,201,狗,0.22026729583740234,0.22026729583740234,,30
1285,1324,28,乖,0.6032834053039551,0.6032834053039551,,30
1310,1359,168,棒,0.38215261697769165,0.38215261697769165,,30
